n_displ_x,n_displ_y,n_diff_int_vel_x,n_diff_int_vel_y,n_diff_vel_x,n_diff_vel_y,speed,diff_int_v_x,diff_int_v_y,acc_x,acc_y
-1.696954,0.975255,0.001915,0.007402,-0.104448,0.142827,1.150781,-1.087365,-0.200733,2.17272,0.698123
-1.621224,1.037102,0.002058,0.007391,0.013358,0.213852,1.276861,-1.20189,-0.271018,3.296206,0.975126
-1.54779,1.05278,0.001928,0.007209,0.118443,0.275742,1.384248,-1.298575,-0.330917,4.185402,1.23155
-1.478072,1.031595,0.001518,0.006851,0.206506,0.325868,1.467352,-1.37312,-0.3778,4.834604,1.43925
-1.41187,0.982155,0.000818,0.006314,0.277545,0.364232,1.525684,-1.425523,-0.411667,5.245502,1.575272
-1.349067,0.911218,-0.000186,0.005595,0.331562,0.390831,1.558965,-1.455785,-0.432519,5.41951,1.626754
-1.289669,0.82445,-0.00151,0.004686,0.368556,0.405667,1.567046,-1.463906,-0.440355,5.357482,1.587042
-1.233798,0.726797,-0.003176,0.003582,0.388527,0.40874,1.549868,-1.449885,-0.435175,5.059657,1.453959
-1.181687,0.622646,-0.005211,0.002271,0.391389,0.400019,1.507449,-1.413723,-0.41698,4.525628,1.229315
-1.133726,0.516604,-0.007642,0.000745,0.369577,0.376904,1.439894,-1.35542,-0.38577,3.754288,0.919477
-1.090606,0.414295,-0.010471,-0.000996,0.317847,0.337591,1.347427,-1.274975,-0.341543,2.743769,0.537281
-1.053461,0.320469,-0.0137,-0.002953,0.236198,0.28208,1.230468,-1.172389,-0.284302,1.491502,0.106406
-1.0242,0.237771,-0.017327,-0.005127,0.124632,0.210372,1.089814,-1.047662,-0.214044,-0.004942,-0.328788
-1.006096,0.16423,-0.021354,-0.007516,-0.016853,0.122466,0.927079,-0.900794,-0.130771,-1.743386,-0.679617
-1.004382,0.086058,-0.025779,-0.010121,-0.188256,0.018362,0.745954,-0.731785,-0.034483,-3.694355,-0.750055
-1.022411,-0.045766,-0.030603,-0.012943,-0.389578,-0.10194,0.556532,-0.540634,0.074821,-5.672097,-0.058017
-1.006142,-0.381207,-0.035826,-0.01598,-0.620817,-0.238439,0.393069,-0.327342,0.197141,-6.549693,2.432615
-0.643921,-0.988563,-0.041449,-0.019233,-0.881975,-0.391136,0.360585,-0.091908,0.332476,-4.415656,9.322466
1.018577,-0.05445,-0.045006,-0.010427,-1.883203,-0.873331,1.342795,0.961463,0.970214,-0.563546,-1.49051
0.823146,-0.503849,-0.043448,-0.009264,-1.741146,-0.759556,1.024288,0.666997,0.808325,1.528933,0.726457
0.499308,-0.915003,-0.041946,-0.00818,-1.610453,-0.654731,0.745374,0.392744,0.658291,2.757066,3.090045
-0.083292,-1.196793,-0.040457,-0.007147,-1.491125,-0.558856,0.526402,0.138746,0.52014,2.292442,5.43031
-0.976483,-0.991595,-0.038947,-0.006147,-1.383161,-0.471931,0.414602,-0.094961,0.393888,-0.667834,6.212069
-1.585736,-0.154147,-0.037383,-0.005167,-1.28656,-0.393957,0.448973,-0.308344,0.27955,-3.172301,4.004659
-1.680882,0.622984,-0.035748,-0.004201,-1.201324,-0.324932,0.575483,-0.501372,0.17714,-2.992503,1.82433
-1.614006,1.155771,-0.034035,-0.003246,-1.127452,-0.264857,0.727442,-0.67401,0.08667,-1.773681,0.786635
-1.52539,1.542676,-0.032238,-0.002299,-1.064944,-0.213733,0.876037,-0.826225,0.008155,-0.42841,0.414099
-1.443432,1.84945,-0.03035,-0.001359,-1.0138,-0.171558,1.0106,-0.957986,-0.058391,0.793149,0.346215
-1.372887,2.108687,-0.028366,-0.000423,-0.974021,-0.138334,1.126735,-1.069258,-0.112954,1.823641,0.402303
-1.314471,2.337679,-0.026279,0.000512,-0.945605,-0.114059,1.222407,-1.160009,-0.155522,2.643859,0.491547
-2.118695,-1.780386,-0.018685,-0.000695,-0.703961,0.008698,1.296595,-1.230207,-0.186079,3.248416,0.566116
-2.108168,-1.634945,-0.017974,-0.000611,-0.619569,0.030919,1.34878,-1.279817,-0.204612,3.636137,0.600223
-2.084651,-1.518368,-0.017313,-0.000543,-0.557997,0.040306,1.378726,-1.308807,-0.211108,3.807133,0.580606
-2.053132,-1.424243,-0.016661,-0.000473,-0.519243,0.036859,1.386394,-1.317144,-0.205553,3.761893,0.502192
-2.016958,-1.347377,-0.015978,-0.000376,-0.503308,0.020577,1.371908,-1.304798,-0.187929,3.501124,0.36638
-1.978452,-1.28387,-0.015225,-0.000229,-0.510193,-0.008539,1.335577,-1.271739,-0.158217,3.072155,0.213347
-1.945073,-1.222283,-0.014371,-0.000012,-0.528632,-0.0426,1.289958,-1.22921,-0.124292,2.667307,0.136228
-1.925371,-1.149131,-0.013414,0.000275,-0.542374,-0.070224,1.252447,-1.193469,-0.097544,2.340896,0.09601
-1.918332,-1.064607,-0.012361,0.000625,-0.551234,-0.091283,1.222922,-1.164716,-0.078112,2.091485,0.084626
-1.922248,-0.96896,-0.011218,0.001031,-0.555213,-0.105777,1.201128,-1.142967,-0.066009,1.917631,0.095958
-1.934822,-0.862437,-0.009989,0.001488,-0.55431,-0.113704,1.186896,-1.128236,-0.061246,1.818311,0.125475
-1.953229,-0.745411,-0.008682,0.00199,-0.548526,-0.115066,1.180169,-1.120538,-0.063835,1.793202,0.170585
-1.017571,-1.665169,-0.011611,0.000309,-0.923643,-0.299636,1.181004,-1.119888,-0.073788,1.842833,0.230879
-1.082744,-1.463813,-0.00951,0.001034,-0.902405,-0.277356,1.18958,-1.126302,-0.091118,1.968567,0.308267
